date,OilPrice,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate,oil_diff_target,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2008-01-31,-0.6700000000000017,-0.16286710000000015,1.6440000000000055,-0.08950000000000102,-1.4200000000000017,0.5430999999999955,23.600000000000364,2297.0,-419.74400000000605,29.0,-0.10999999999999988,-0.2699999999999996,-2.6400000000000006,0.6800000000000068,2.3299999999999983,0.5756474615595907,1.359675948235656,91.40599999999999,92.637,0.986711573129527,0,1.6899999999999977,-7.969999999999999,0,0,0,0
2008-02-01,-2.6400000000000006,-0.43927830999999995,0.61099999999999,-0.172300000000007,-2.1799999999999997,0.035700000000005616,-7.100000000000364,3555.0,284.497000000003,-44.0,-0.04999999999999982,-0.25,1.039999999999992,-0.6700000000000017,0.39000000000000057,1.4452577624769916,1.4493087281437618,91.138,92.13000000000001,0.9892326061000759,0,-1.3400000000000034,-10.14,0,0,0,1
2008-02-04,1.039999999999992,-0.43927830999999995,0.61099999999999,-0.00359999999999161,1.9699999999999989,0.035700000000005616,-7.100000000000364,3555.0,284.497000000003,-44.0,0.06000000000000005,-0.25,-1.75,-2.6400000000000006,0.6199999999999903,1.5200427625563695,1.4770820274410887,90.954,91.7385,0.9914485194329533,0,-0.9200000000000017,-7.8300000000000125,0,0,1,0
2008-02-05,-1.75,-0.43927830999999995,0.61099999999999,0.5971999999999866,2.25,0.035700000000005616,-7.100000000000364,3555.0,284.497000000003,-44.0,-0.07000000000000028,-0.25,-1.1599999999999966,1.039999999999992,0.6700000000000017,1.5647587673504173,1.4019595309122839,90.286,91.4005,0.9878064124375688,0,-3.3400000000000034,-6.760000000000005,0,0,0,0
2008-02-06,-1.1599999999999966,-0.43927830999999995,0.61099999999999,-0.07729999999999393,0.7300000000000004,0.035700000000005616,-7.100000000000364,3555.0,284.497000000003,-44.0,0.0,-0.25,0.9099999999999966,-1.75,0.6800000000000068,1.3731096096087851,1.3544401640141717,89.25,90.937,0.9814486952505581,0,-5.180000000000007,-9.27000000000001,0,0,0,0
2008-02-07,0.9099999999999966,-0.43927830999999995,0.61099999999999,0.4234000000000009,-1.3099999999999987,0.035700000000005616,-7.100000000000364,3555.0,284.497000000003,-44.0,0.13000000000000034,-0.25,3.700000000000003,-1.1599999999999966,-0.6700000000000017,1.6351911203281375,1.3858505843362992,88.53,90.5585,0.9776001148428917,0,-3.6000000000000085,-7.570000000000007,0,0,0,0
2008-02-08,3.700000000000003,-0.43927830999999995,0.61099999999999,-0.19950000000000045,0.3500000000000014,0.035700000000005616,-7.100000000000364,6868.0,284.497000000003,15.0,-0.10000000000000009,-0.25,1.7900000000000063,0.9099999999999966,-2.6400000000000006,2.1509463033744005,1.619889128759646,89.078,90.451,0.984820510552675,0,2.739999999999995,-2.1500000000000057,0,0,0,1
2008-02-11,1.7900000000000063,-0.43927830999999995,0.61099999999999,-0.007699999999999818,-0.41000000000000014,0.035700000000005616,-7.100000000000364,6868.0,284.497000000003,15.0,-0.020000000000000018,-0.25,-0.7400000000000091,3.700000000000003,1.039999999999992,2.2189118955019382,1.6522071362431021,89.776,90.49199999999999,0.992087698360076,0,3.490000000000009,0.8200000000000074,0,0,1,0
2008-02-12,-0.7400000000000091,-0.43927830999999995,0.61099999999999,-0.2609999999999957,-1.2700000000000031,0.035700000000005616,-7.100000000000364,6868.0,284.497000000003,15.0,0.040000000000000036,-0.25,0.46000000000000796,1.7900000000000063,-1.75,1.97265050122925,1.624284376838645,90.676,90.42150000000001,1.0028145960861077,1,4.5,-1.4100000000000108,0,0,0,0
2008-02-13,0.46000000000000796,-0.43927830999999995,0.61099999999999,0.18429999999999325,-1.4499999999999993,0.035700000000005616,-7.100000000000364,6868.0,284.497000000003,15.0,0.040000000000000036,-0.25,2.1400000000000006,-0.7400000000000091,-1.1599999999999966,1.6575976592647605,1.5350243440552027,91.9,90.49199999999999,1.015559386465102,1,6.1200000000000045,1.4099999999999966,0,0,0,0
2008-02-14,2.1400000000000006,-0.43927830999999995,0.61099999999999,-0.23269999999999413,0.6600000000000001,0.035700000000005616,-7.100000000000364,6868.0,284.497000000003,15.0,0.1499999999999999,-0.25,0.14999999999999147,0.46000000000000796,0.9099999999999966,1.6902958320956756,1.5767484864345624,93.36999999999999,90.723,1.0291767247555745,1,7.3500000000000085,4.6200000000000045,0,0,0,0
2008-02-15,0.14999999999999147,-0.43927830999999995,0.61099999999999,-0.004900000000006344,-0.5199999999999996,0.035700000000005616,-7.100000000000364,1066.0,284.497000000003,31.0,-0.0900000000000003,-0.25,4.420000000000002,2.1400000000000006,3.700000000000003,1.1913647636219618,1.5620435333242155,94.13,90.99600000000001,1.0344410743329375,1,3.799999999999997,5.459999999999994,0,0,0,1
2008-02-19,4.420000000000002,-0.43927830999999995,0.61099999999999,0.06199999999999761,0.5700000000000003,0.035700000000005616,-7.100000000000364,1066.0,284.497000000003,31.0,0.13000000000000034,-0.25,0.8700000000000045,0.14999999999999147,1.7900000000000063,2.0389163788640317,1.8171307631885814,95.416,91.468,1.043162636113176,1,6.429999999999993,9.439999999999998,0,0,0,0
2008-02-20,0.8700000000000045,-0.43927830999999995,0.61099999999999,0.29460000000000264,-1.1900000000000013,0.035700000000005616,-7.100000000000364,1066.0,284.497000000003,31.0,0.040000000000000036,-0.25,-2.2900000000000063,4.420000000000002,-0.7400000000000091,1.7448982778374231,1.78925712311886,97.024,92.029,1.0542763694052961,1,8.040000000000006,11.219999999999999,0,0,0,0
