fold,valid_start,valid_end,n_valid,RMSE,MAE,R2,DirAcc
1,2010-06-29,2012-11-19,606,1.70847659135592,1.27700385456151,0.00337732236276711,0.4867986798679868
2,2012-11-20,2015-04-20,606,1.3192488959101418,0.9947854280414749,-0.0065484297701194905,0.4884488448844885
3,2015-04-21,2017-09-14,606,1.111349651857851,0.8532509120300031,-0.001680182452415746,0.5033003300330033
4,2017-09-15,2020-02-19,606,1.1757970243897948,0.8367467618245773,0.00523863197047425,0.4933993399339934
5,2020-02-20,2022-07-19,606,3.6358361972154274,1.630173985306847,0.009206331237076593,0.49174917491749176
