dataset,rows,cols,numeric_cols,feature_count,missing_values,start_date,end_date,target_mean,target_std
dataset1_raw_only,4548,14,13,12,1,2008-01-31,2026-03-16,0.0003782713877281706,2.04238042654284
dataset2_raw_plus_derived,4548,28,27,26,1,2008-01-31,2026-03-16,0.0003782713877281706,2.04238042654284
dataset3_diff_only,4548,13,12,11,1,2008-01-31,2026-03-16,0.0003782713877281706,2.04238042654284
dataset4_derived_full,4548,28,27,26,1,2008-01-31,2026-03-16,0.0003782713877281706,2.04238042654284
