dataset,model,n_train,n_test,feature_count,MAE,RMSE,R2,Directional_Accuracy
dataset1_raw_only,naive_zero,3637,910,12,1.2582637362637366,1.7002833635848813,-5.109837033034914e-05,0.002197802197802198
dataset2_raw_plus_derived,naive_zero,3637,910,26,1.2582637362637366,1.7002833635848813,-5.109837033034914e-05,0.002197802197802198
dataset3_diff_only,naive_zero,3637,910,11,1.2582637362637366,1.7002833635848813,-5.109837033034914e-05,0.002197802197802198
dataset4_derived_full,naive_zero,3637,910,26,1.2582637362637366,1.7002833635848813,-5.109837033034914e-05,0.002197802197802198
