dataset,model,n_train,n_test,feature_count,MAE,RMSE,R2,Directional_Accuracy
dataset1_raw_only,Lasso,3637,910,12,1.2700203765486484,1.710658398260267,-0.012292846546971603,0.4989010989010989
dataset2_raw_plus_derived,Lasso,3637,910,26,1.7771567009757305,2.228391472841647,-0.7177602790749036,0.5186813186813187
dataset3_diff_only,Ridge,3637,910,11,1.2595838252803404,1.70530521475273,-0.0059671996232484315,0.5131868131868131
dataset4_derived_full,OLS,3637,910,26,1.324735626949305,1.8131647694802528,-0.1372452304666325,0.5197802197802198
