date,resid_default,resid_interpretation_style
2022-07-20,-6.0976450387985635,-6.267852351311822
2022-07-21,-0.06958505518705982,0.10785424569882252
2022-07-22,2.2415054679825097,2.5993298437507804
2022-07-25,-2.504401172864252,-2.3485509684622334
2022-07-26,2.0171159749083074,2.008687223190165
2022-07-27,-0.5151788297749509,-0.0057451947846962614
2022-07-28,3.4532284551436243,4.009329676983578
2022-07-29,-4.2889014217003725,-4.240734958202462
2022-08-01,0.41551781605222315,0.4515825620865665
2022-08-02,-3.654899892220082,-2.7503740681045503
2022-08-03,-3.2746073642006506,-3.357045886094911
2022-08-04,0.07864943671298857,0.038406762096419245
2022-08-05,3.017652054536632,3.8722479623963104
2022-08-08,-0.09403277186559567,0.6463162991337625
2022-08-09,0.572199842833068,0.7398568795528694
2022-08-10,1.9050720690639316,2.529522553024659
2022-08-11,-2.588308998445286,-2.325009830934454
2022-08-12,-4.256926570508865,-4.726767123985271
2022-08-15,-3.830212646790082,-3.638457967378972
2022-08-16,0.48377769226586564,0.671751985854603
2022-08-17,2.615173752159936,2.492564774538758
2022-08-18,-0.056934438878976645,-0.16344304259482245
2022-08-19,-0.12355604395446637,0.524770107735312
2022-08-22,2.6444248315371306,2.6579153033432874
2022-08-23,-0.9465690291528007,-0.5178556970431831
2022-08-24,-3.811023208196029,-3.5783129675562986
2022-08-25,-0.7180116873053208,-1.125468922125845
2022-08-26,3.1103633458501063,3.2465776648962
2022-08-29,-5.625177227149028,-5.853440546184686
2022-08-30,-1.177682169285354,-1.416924055439404
2022-08-31,-5.503335302233164,-5.848596668671451
2022-09-01,-0.9872768236499543,-1.0225420580343338
2022-09-02,0.18759489651916933,0.18559484013884603
2022-09-06,-5.4792129270267225,-5.272182627836312
2022-09-07,-0.17093397990954462,0.24536359754648873
2022-09-08,2.077160383087838,2.3478688437686914
2022-09-09,1.5722824628036924,2.1247070260464307
2022-09-12,-0.2127688418463568,0.1646223236116563
2022-09-13,0.9038622076827685,0.8810285855050095
2022-09-14,-3.1633074578506126,-3.1422472259630276
2022-09-15,-0.5014248305984133,-1.0777986729358535
2022-09-16,0.6909724146117596,0.5603842926081636
2022-09-19,-1.6169237338728228,-1.4392998656412195
2022-09-20,-1.5541336731060915,-1.853888807273146
2022-09-21,0.4451572959933116,0.40041557072138106
2022-09-22,-5.146638276153079,-5.170858466935821
2022-09-23,-2.162732455537369,-1.9030967337159856
2022-09-26,0.8418455503241572,1.157914643273687
2022-09-27,3.2129421439829664,3.2969610408510457
2022-09-28,0.529532437098714,1.200148715966026
2022-09-29,-2.438722379603144,-3.036385534550557
2022-09-30,3.9578514454989704,4.179011386178745
2022-10-03,2.0458732337221632,2.7959407501498124
2022-10-04,1.4050308062088048,0.7896428671169308
2022-10-05,0.5566775788546254,0.5614857581809815
2022-10-06,4.382469887055193,4.744358337751581
2022-10-07,-0.6643246113520612,-0.8173331926825956
2022-10-10,0.08762075811681602,0.6457440973201223
2022-10-11,-2.1603108347941484,-1.7931950471978564
2022-10-12,1.2277729612756747,1.446768219720963
2022-10-13,-3.5045109364884657,-3.1559602391208226
2022-10-14,-0.7129257302670803,-0.20848975798995728
2022-10-17,-2.3117570404463272,-1.9672455041608874
2022-10-18,2.59876057937153,2.8452228988693467
2022-10-19,2.155620237296864,1.5600595335246696
2022-10-20,0.6356202892073659,0.03452239322453199
2022-10-21,0.6331478369380822,0.7188558382199806
2022-10-24,0.6305100614983444,0.8696561994606118
2022-10-25,3.0625992523046763,3.3906926887797315
2022-10-26,-0.17447753833453447,0.19887431408967937
2022-10-27,-1.410785167283533,-1.4536667795780622
2022-10-28,-1.4875188369166046,-1.2826443900039057
2022-10-31,2.3459205209621423,2.1228722679484178
2022-11-01,1.5114085254689331,1.7396322886953153
2022-11-02,-1.6296263587212596,-1.397063520081997
2022-11-03,4.9745706220425365,5.09360496855658
2022-11-04,-1.4876616786046089,-0.8963145985841923
2022-11-07,-2.299104911070814,-2.15381322809477
2022-11-08,-2.886237210177978,-3.0317520962100364
2022-11-09,0.5726310593629473,0.3485133858646921
2022-11-10,3.4567376989874417,3.512258132685663
2022-11-11,-2.9490453954758284,-3.2086868118028598
2022-11-14,1.2513790603549277,0.845895261425748
2022-11-15,0.6883847892168036,-0.24280210332319774
2022-11-16,-3.4780155688735106,-3.35777604274899
2022-11-17,-1.8932979459519634,-1.3702400502759278
2022-11-18,0.25214177537453153,-0.498883307980478
2022-11-21,0.9086378392742527,0.7530440329542093
2022-11-22,-3.3993734812148126,-3.2757594673619206
2022-11-23,-2.407984547011194,-2.153312730856605
2022-11-25,1.5278716252291589,1.4069462827242156
2022-11-28,0.35683607328458633,0.5416373007176354
2022-11-29,2.157188753065123,2.080195910548005
2022-11-30,0.2968423569309326,1.0257789635640626
2022-12-01,0.5597271515211297,0.7993741552443796
2022-12-02,-3.2953648161362596,-3.0998655343968755
2022-12-05,-3.7430624207080334,-3.4023404437342757
2022-12-06,-1.9183758986811015,-2.0636834488943467
2022-12-07,-1.0392714434073653,-0.6532450710629625
2022-12-08,-1.3739210023427242,-0.8212574202730573
2022-12-09,1.4730266708248276,1.6203259273094612
2022-12-12,1.9795756364678083,1.980762991989633
2022-12-13,3.6092867235127217,3.3069050704659126
2022-12-14,-1.2186959938739537,-1.2241424991772563
2022-12-15,-1.153239119411857,-1.1159845160633464
2022-12-16,1.5417495557183507,1.9299244567447498
2022-12-19,0.6952414438010711,0.6551166055023346
2022-12-20,2.260199557169081,1.7511277467056403
2022-12-21,-0.37832832357697216,-0.4466244086804907
2022-12-22,2.3781019113046464,1.817336605989276
2022-12-23,-0.5984375809340724,-0.37991113583441594
2022-12-27,-0.45096238032681646,-0.12530791014633835
2022-12-28,-0.5148058513187111,-0.3202126908471432
2022-12-29,1.3992930414359113,1.629583428146224
2022-12-30,-3.8150809820055693,-3.4514514562299725
2023-01-03,-3.1880760914934614,-2.3388441408906626
2023-01-04,-0.002043170863264332,0.9162861204954477
2023-01-05,-0.8903865106070308,-0.5038360476757621
2023-01-06,2.130171521233515,2.9589056939482212
2023-01-09,0.3581877880402599,0.5478829281013619
2023-01-10,2.053801223434438,2.065112001760144
2023-01-11,2.2476772818255153,2.959356406123693
2023-01-12,2.2627898569674465,2.2332979266286785
2023-01-13,4.2194079914979605,4.327210019920926
2023-01-17,2.241575344463599,2.363443180199995
2023-01-18,3.0904980449052957,3.230853311846052
2023-01-19,3.2704980449052883,3.4108533118460445
