model,description,n_features,RMSE,MAE,R2,Directional_Accuracy
LGBM_interpretation_in_sample,"전체 데이터 학습 + 전체 데이터 평가, 성능 비교용 아님",19,1.399314165675527,0.8452985908567919,0.530481504659039,0.7824939520563009
naive_zero,항상 0으로 예측,0,1.7002833635848813,1.2582637362637366,-5.109837033034914e-05,
LGBM_default,"기본 LGBM, 튜닝 없음",19,1.8582204741358712,1.3503462964515904,-0.19446674184219015,0.5274725274725275
LGBM_interpretation_style,Modeling_LGBM_interpretation의 파라미터를 train/test로 재평가,19,1.8668620404137612,1.3551567586911715,-0.2056021962126977,0.512087912087912
