model,description,n_features,RMSE,MAE,R2,Directional_Accuracy,RMSE_improve_vs_default,MAE_improve_vs_default,R2_gap_vs_default,DirAcc_gap_vs_default
LGBM_default,"기본 LGBM, 튜닝 없음",19,1.8582204741358712,1.3503462964515904,-0.19446674184219015,0.5274725274725275,0.0,0.0,0.0,0.0
LGBM_interpretation_style,Modeling_LGBM_interpretation의 파라미터를 train/test로 재평가,19,1.8668620404137612,1.3551567586911715,-0.2056021962126977,0.512087912087912,-0.004650452622909897,-0.0035623915526127345,-0.011135454370507558,-0.015384615384615441
